ID,Name,Info
1,孔子,中国古代伟大的思想家和教育家。
2,李白,唐代著名的浪漫主义诗人，被誉为"诗仙"。
3,武则天,中国历史上唯一的女皇帝，有着卓越的政治才能。
4,诸葛亮,三国时期蜀国丞相，智勇双全的谋略家。
5,玄奘,唐代高僧，历经艰险西行取经，对佛教传播有巨大贡献。
6,文天祥,南宋抗金名将，以忠诚和爱国精神著称。
7,岳飞,南宋抗金名将，以忠诚和英勇无畏闻名于世。
8,曹操,三国时期魏国的奸雄，政治家和军事家。
9,刘备,三国时期蜀国的创立者，仁德之君。
10,孙权,三国时期吴国的建立者，睿智的政治家。
11,项羽,秦末楚汉战争时期的英雄，有着雄才大略。
12,刘邦,秦末楚汉战争时期的创业者，开创了汉朝。
13,杨贵妃,唐代宫廷美女，以美丽动人的容貌闻名。
14,司马迁,西汉时期著名的历史学家和文学家，编写了《史记》。
15,鲁迅,现代中国文学家、思想家，以犀利的笔触揭示社会问题。
16,李清照,宋代女词人，作品充满了忧伤和哀怨的情感。
17,秦始皇,中国历史上第一个统一全国的皇帝，建立了秦朝。
18,唐太宗,唐朝第二位皇帝，开创了贞观之治的盛世。
19,文成公主,唐朝公主，嫁给吐蕃王子，促进了中藏文化交流。
20,李世民,唐朝第三位皇帝，有着卓越的政治才能和军事才华。